instant,dateday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
87,2011-03-28,Summer,2011,March,0,Monday,1,1,18219.128508,32196.750000000004,302174.0,63823.111652,222,1806,2028
88,2011-03-29,Summer,2011,March,0,Tuesday,1,1,20848.6025,36613.5,314167.0,68271.997948,317,2108,2425
89,2011-03-30,Summer,2011,March,0,Wednesday,1,2,20676.3,37168.75,646667.0000000001,51998.313544,168,1368,1536
90,2011-03-31,Summer,2011,March,0,Thursday,1,3,18493.778693,32196.875,918333.0,65459.863898,179,1506,1685
91,2011-04-01,Summer,2011,April,0,Friday,1,2,20676.3,35431.75,686250.0,77809.79420399999,307,1920,2227
92,2011-04-02,Summer,2011,April,0,Saturday,0,2,21710.114999999998,39454.625,653750.0,59294.222398,898,1354,2252
93,2011-04-03,Summer,2011,April,0,Sunday,0,1,26075.088692999998,47345.875,480000.0,54802.92851900001,1651,1598,3249
94,2011-04-04,Summer,2011,April,0,Monday,1,1,39514.683693,67866.125,426250.0,115965.490673,734,2381,3115
95,2011-04-05,Summer,2011,April,0,Tuesday,1,2,28544.803807,49793.75,642082.9999999999,116716.195121,167,1628,1795
96,2011-04-06,Summer,2011,April,0,Wednesday,1,1,26936.601192999995,48451.00000000001,470833.0,79119.617069,413,2395,2808
97,2011-04-07,Summer,2011,April,0,Thursday,1,1,30152.9375,54212.000000000015,602917.0000000001,48817.44405600001,571,2570,3141
98,2011-04-08,Summer,2011,April,0,Friday,1,2,23145.946193,40559.87500000001,836250.0,68270.79489599999,172,1299,1471
99,2011-04-09,Summer,2011,April,0,Saturday,0,2,23605.4425,42691.12500000001,877500.0,40026.442329,879,1576,2455
100,2011-04-10,Summer,2011,April,0,Sunday,0,2,29406.316306999997,53342.125,857500.0,44142.083221,1188,1707,2895
101,2011-04-11,Summer,2011,April,0,Monday,1,2,41052.931491999996,70652.12499999999,716956.0,97589.77366199999,855,2493,3348
102,2011-04-12,Summer,2011,April,0,Tuesday,1,2,34632.8025,61631.75,739167.0000000001,82673.43267699999,257,1777,2034
103,2011-04-13,Summer,2011,April,0,Wednesday,1,2,28429.912499999995,52160.37500000001,819166.9999999999,75376.320771,209,1953,2162
104,2011-04-14,Summer,2011,April,0,Thursday,1,1,32220.5675,57842.75,540417.0000000001,33294.4641,529,2738,3267
105,2011-04-15,Summer,2011,April,1,Friday,0,1,30784.736307,55239.125,671250.0,68085.224125,642,2484,3126
106,2011-04-16,Summer,2011,April,0,Saturday,0,3,29693.441193000006,53186.5,888333.0000000002,102502.43650400001,121,674,795
107,2011-04-17,Summer,2011,April,0,Sunday,0,1,31473.946307000002,55712.0,479583.0,91280.367448,1558,2186,3744
108,2011-04-18,Summer,2011,April,0,Monday,1,1,35322.0125,62893.25,542500.0,49194.901621,669,2760,3429
109,2011-04-19,Summer,2011,April,0,Tuesday,1,2,34862.516192999996,61157.25,665832.9999999999,47511.831872999996,409,2795,3204
110,2011-04-20,Summer,2011,April,0,Wednesday,1,1,41007.994999999995,70549.0,614167.0,72762.088775,613,3331,3944
111,2011-04-21,Summer,2011,April,0,Thursday,1,1,31646.248807,56736.5,407082.99999999994,97825.57185400001,745,3444,4189
112,2011-04-22,Summer,2011,April,0,Friday,1,2,23203.426307,40244.25,729582.9999999999,66023.794523,177,1506,1683
113,2011-04-23,Summer,2011,April,0,Saturday,0,2,31703.66,56265.125,887916.9999999998,69393.543175,1462,2574,4036
114,2011-04-24,Summer,2011,April,0,Sunday,0,2,40089.071307,68970.375,810833.0000000001,57799.129525000004,1710,2481,4191
115,2011-04-25,Summer,2011,April,0,Monday,1,1,41812.096307,71812.5,776667.0000000001,55741.309079,773,3300,4073
116,2011-04-26,Summer,2011,April,0,Tuesday,1,1,43535.121306999994,74260.37500000001,729167.0000000001,98199.11950000002,678,3722,4400
117,2011-04-27,Summer,2011,April,0,Wednesday,1,2,42731.020000000004,71892.75,835416.9999999998,93898.20859999998,547,3325,3872
118,2011-04-28,Summer,2011,April,0,Thursday,1,2,42558.717500000006,72366.12500000001,700833.0000000001,96517.25280400002,569,3489,4058
119,2011-04-29,Summer,2011,April,0,Friday,1,1,35149.71,62182.875,457083.0,72202.068069,878,3717,4595
120,2011-04-30,Summer,2011,April,0,Saturday,0,1,32565.172499999997,58002.625,503333.0,70701.862225,1965,3347,5312
121,2011-05-01,Summer,2011,May,0,Sunday,0,2,31129.341307,56025.5,762082.9999999999,31987.348102,1138,2213,3351
122,2011-05-02,Summer,2011,May,0,Monday,1,2,37849.138806999996,66604.125,730000.0,55176.175402,847,3554,4401
123,2011-05-03,Summer,2011,May,0,Tuesday,1,2,42501.306307,72759.875,697082.9999999999,103061.55492099999,603,3848,4451
124,2011-05-04,Summer,2011,May,0,Wednesday,1,2,28544.803807,50581.25000000001,737083.0000000001,98949.823948,255,2378,2633
125,2011-05-05,Summer,2011,May,0,Thursday,1,1,31646.248807,55239.625,444167.0,88842.984096,614,3819,4433
126,2011-05-06,Summer,2011,May,0,Friday,1,1,33024.668807,59264.625,590000.0,68647.95169799999,894,3714,4608
127,2011-05-07,Summer,2011,May,0,Saturday,0,1,35838.92,64077.625,541250.0,48257.423350000005,1612,3102,4714
128,2011-05-08,Summer,2011,May,0,Sunday,0,1,36413.238693,64866.625,631667.0,22448.198412499998,1401,2932,4333
129,2011-05-09,Summer,2011,May,0,Monday,1,1,36700.432499999995,65655.75,588750.0,52934.288,664,3698,4362
130,2011-05-10,Summer,2011,May,0,Tuesday,1,1,36700.432499999995,65340.125,489167.0,34789.556973,694,4109,4803
131,2011-05-11,Summer,2011,May,0,Wednesday,1,1,37389.6425,66050.0,632916.9999999999,36284.649846,550,3632,4182
132,2011-05-12,Summer,2011,May,0,Thursday,1,1,36872.735,65420.375,747500.0,57044.815921,695,4169,4864
133,2011-05-13,Summer,2011,May,0,Friday,1,2,35322.0125,61787.5,863333.0000000002,54054.630175,692,3413,4105
134,2011-05-14,Summer,2011,May,0,Saturday,0,2,35896.331193,62578.625,922500.0,40587.96685,902,2507,3409
135,2011-05-15,Summer,2011,May,0,Sunday,0,2,38768.0625,67000.0,867083.0000000002,46010.422977,1582,2971,4553
136,2011-05-16,Summer,2011,May,0,Monday,1,1,39801.8775,68814.0,787916.9999999999,38158.102573000004,773,3185,3958
137,2011-05-17,Summer,2011,May,0,Tuesday,1,2,38710.651307,67316.12500000001,837917.0,83417.82110199999,678,3445,4123
138,2011-05-18,Summer,2011,May,0,Wednesday,1,2,37906.55,65894.75,870000.0,60601.33839600001,536,3319,3855
139,2011-05-19,Summer,2011,May,0,Thursday,1,2,36585.541193000005,63842.75,829583.0,32546.466519,735,3840,4575
140,2011-05-20,Summer,2011,May,0,Friday,1,1,36987.626307,66130.25,719582.9999999999,37599.284919,909,4008,4917
141,2011-05-21,Summer,2011,May,0,Saturday,0,1,41524.902500000004,71496.875,626667.0,36287.055949999994,2258,3547,5805
142,2011-05-22,Summer,2011,May,0,Sunday,0,1,41639.793807,71812.5,749582.9999999999,44515.330104,1576,3084,4660
143,2011-05-23,Summer,2011,May,0,Monday,1,2,43535.121306999994,73787.0,810000.0,70331.02144599998,836,3438,4274
144,2011-05-24,Summer,2011,May,0,Tuesday,1,2,45487.86,75601.625,740832.9999999999,62285.611196,659,3833,4492
145,2011-05-25,Summer,2011,May,0,Wednesday,1,1,45545.271193,76942.75,696250.0,46387.57977900001,740,4238,4978
146,2011-05-26,Summer,2011,May,0,Thursday,1,1,48819.018693000005,81836.0,677500.0,60044.926846,758,3919,4677
147,2011-05-27,Summer,2011,May,0,Friday,1,1,46981.171307000004,79626.0,653750.0,72387.338077,871,3808,4679
148,2011-05-28,Summer,2011,May,0,Saturday,0,1,45200.666193000005,76547.375,729582.9999999999,69203.16019600001,2001,2757,4758
149,2011-05-29,Summer,2011,May,0,Sunday,0,1,46004.767499999994,76943.75000000001,818750.0,64344.63469399999,2355,2433,4788
150,2011-05-30,Summer,2011,May,1,Monday,0,1,50542.04369300001,83886.5,685000.0,39467.624675,1549,2549,4098
151,2011-05-31,Summer,2011,May,0,Tuesday,1,1,53413.775,90672.87500000001,636667.0,33483.644027,673,3309,3982
152,2011-06-01,Summer,2011,June,0,Wednesday,1,2,52667.15380700001,90120.875,677082.9999999999,62285.611196,513,3461,3974
153,2011-06-02,Summer,2011,June,0,Thursday,1,1,49278.515,80492.75,305000.0,87909.114981,736,4232,4968
154,2011-06-03,Summer,2011,June,0,Friday,1,1,42731.020000000004,73391.625,354167.0,76129.431323,898,4414,5312
155,2011-06-04,Summer,2011,June,0,Saturday,0,1,43764.835,74337.0,456250.0,37036.557346,1869,3473,5342
156,2011-06-05,Summer,2011,June,0,Sunday,0,2,44683.75869300001,77100.5,652500.0,41713.421996,1685,3221,4906
157,2011-06-06,Summer,2011,June,0,Monday,1,1,46751.388693,77732.25,600000.0,36661.806648,673,3875,4548
158,2011-06-07,Summer,2011,June,0,Tuesday,1,1,48761.607500000006,81993.75,597917.0000000001,56485.697503999996,763,4070,4833
159,2011-06-08,Summer,2011,June,0,Wednesday,1,1,53471.186192999994,90909.87500000001,622083.0000000001,41149.491371000004,676,3725,4401
160,2011-06-09,Summer,2011,June,0,Thursday,1,2,55711.118693,94697.37500000001,568332.9999999999,45079.260729,563,3352,3915
161,2011-06-10,Summer,2011,June,0,Friday,1,1,52035.354999999996,87911.5,605000.0,42273.442702,815,3771,4586
162,2011-06-11,Summer,2011,June,0,Saturday,0,1,49967.725,84754.75000000001,654583.0000000001,46573.15055,1729,3237,4966
163,2011-06-12,Summer,2011,June,0,Sunday,0,1,47727.792499999996,80415.62500000001,747917.0000000001,49194.901621,1467,2993,4460
164,2011-06-13,Summer,2011,June,0,Monday,1,1,43764.835,75206.75000000001,494583.0,91837.98204999999,863,4157,5020
165,2011-06-14,Summer,2011,June,0,Tuesday,1,1,41639.793807,73943.25,507082.9999999999,80990.362929,727,4164,4891
166,2011-06-15,Summer,2011,June,0,Wednesday,1,1,43190.516307,73469.25,471667.0,50501.716856,769,4411,5180
167,2011-06-16,Summer,2011,June,0,Thursday,1,2,43305.338693000005,74418.25,688332.9999999999,62098.837372999995,545,3222,3767
168,2011-06-17,Summer,2011,June,0,Friday,1,1,44741.238807,75047.875,735832.9999999999,43017.83112699999,863,3981,4844
169,2011-06-18,Summer,2011,June,0,Saturday,0,1,48014.986307,80494.25000000001,670417.0000000001,35913.508304,1807,3312,5119
170,2011-06-19,Summer,2011,June,0,Sunday,0,2,48187.288807000004,80730.75000000001,666667.0000000001,30677.825999999997,1639,3105,4744
171,2011-06-20,Summer,2011,June,0,Monday,1,2,43764.835,74418.25,746250.0,46761.127425,699,3311,4010
172,2011-06-21,Fall,2011,June,0,Tuesday,1,2,46923.691193000006,79705.75,770417.0000000001,51437.99207500001,774,4061,4835
173,2011-06-22,Fall,2011,June,0,Wednesday,1,1,50542.04369300001,86728.62500000001,707500.0,51810.035906,661,3846,4507
174,2011-06-23,Fall,2011,June,0,Thursday,1,2,50197.438693,86729.12500000001,703332.9999999999,71823.407452,746,4044,4790
175,2011-06-24,Fall,2011,June,0,Friday,1,1,49910.313807000006,82072.875,573333.0,66776.905075,969,4022,4991
176,2011-06-25,Fall,2011,June,0,Saturday,0,1,47900.094999999994,80414.125,483333.0,63031.202673,1782,3420,5202
177,2011-06-26,Fall,2011,June,0,Sunday,0,1,46866.280000000006,79703.625,513333.0,28432.1189079,1920,3385,5305
178,2011-06-27,Fall,2011,June,0,Monday,1,2,47038.582500000004,79625.5,658332.9999999999,32358.489644,854,3854,4708
179,2011-06-28,Fall,2011,June,0,Tuesday,1,1,51288.733807000004,86569.74999999999,634167.0000000001,43394.987928999995,732,3916,4648
180,2011-06-29,Fall,2011,June,0,Wednesday,1,1,50197.438693,81836.0,497917.0,78746.06942300001,848,4377,5225
181,2011-06-30,Fall,2011,June,0,Thursday,1,1,48014.986307,79626.0,434167.0000000001,55734.99305600001,1027,4488,5515
182,2011-07-01,Fall,2011,July,0,Friday,1,1,49795.4225,81520.25,396250.0,30860.689904000003,1246,4116,5362
183,2011-07-02,Fall,2011,July,0,Saturday,0,1,50886.648692999996,83413.5,444583.0,34606.392306,2204,2915,5119
184,2011-07-03,Fall,2011,July,0,Sunday,0,2,49393.406307000005,83571.875,682500.0,68832.018654,2282,2367,4649
185,2011-07-04,Fall,2011,July,1,Monday,0,2,50082.61630699999,83177.12500000001,637917.0,24505.928629600003,3065,2978,6043
186,2011-07-05,Fall,2011,July,0,Tuesday,1,1,51461.036306999995,87042.25000000001,590417.0,37973.734854,1031,3634,4665
187,2011-07-06,Fall,2011,July,0,Wednesday,1,1,49623.119999999995,85704.125,743333.0000000001,45079.260729,784,3845,4629
188,2011-07-07,Fall,2011,July,0,Thursday,1,1,51690.75,85858.875,651250.0,47881.469600000004,754,3838,4592
189,2011-07-08,Fall,2011,July,0,Friday,1,2,48876.498807,83810.37500000001,757916.9999999999,67710.473427,692,3348,4040
190,2011-07-09,Fall,2011,July,0,Saturday,0,1,50542.04369300001,83019.75000000001,609167.0,50501.716856,1988,3348,5336
191,2011-07-10,Fall,2011,July,0,Sunday,0,1,51518.4475,86253.125,578333.0,55181.288372999996,1743,3138,4881
192,2011-07-11,Fall,2011,July,0,Monday,1,1,52552.262500000004,91225.5,635833.0,84916.523131,723,3363,4086
193,2011-07-12,Fall,2011,July,0,Tuesday,1,1,54734.78380699999,92409.37499999999,559167.0,60228.99380199999,662,3596,4258
194,2011-07-13,Fall,2011,July,0,Wednesday,1,1,51461.036306999995,86175.5,631667.0,43951.39947900001,748,3594,4342
195,2011-07-14,Fall,2011,July,0,Thursday,1,1,46923.691193000006,79388.0,476250.0,72383.728921,888,4196,5084
196,2011-07-15,Fall,2011,July,0,Friday,1,1,45717.573693,78046.375,591250.0000000001,54989.401579,1318,4220,5538
197,2011-07-16,Fall,2011,July,0,Saturday,0,1,47325.776307,79782.875,585000.0,62661.564946000006,2418,3505,5923
198,2011-07-17,Fall,2011,July,0,Sunday,0,1,49565.708806999995,83729.125,604167.0,73696.86017900001,2006,3296,5302
199,2011-07-18,Fall,2011,July,0,Monday,1,1,51461.036306999995,87990.625,651250.0,64905.858452,841,3617,4458
200,2011-07-19,Fall,2011,July,0,Tuesday,1,1,53528.666307,93434.875,650417.0000000001,39279.6478,752,3789,4541
201,2011-07-20,Fall,2011,July,0,Wednesday,1,1,52954.278693,93356.25,707083.0000000001,34231.942371,644,3688,4332
202,2011-07-21,Fall,2011,July,0,Thursday,1,2,56170.615,103296.37500000001,691250.0,66775.70202299999,632,3152,3784
203,2011-07-22,Fall,2011,July,0,Friday,1,1,58467.958693,105112.00000000001,580417.0,40031.5553,562,2825,3387
204,2011-07-23,Fall,2011,July,0,Saturday,0,1,58525.438807,100535.87499999999,500000.0,39466.421623,987,2298,3285
205,2011-07-24,Fall,2011,July,0,Sunday,0,1,57204.43,99353.625,550833.0,50880.37747299999,1050,2556,3606
206,2011-07-25,Fall,2011,July,0,Monday,1,1,51231.253693000006,90119.75,757082.9999999999,27311.776732899998,568,3272,3840
207,2011-07-26,Fall,2011,July,0,Tuesday,1,1,53184.061307,87122.37500000001,540833.0,60230.196853999994,750,3840,4590
208,2011-07-27,Fall,2011,July,0,Wednesday,1,1,53413.775,86333.375,402917.00000000006,55178.882268999994,755,3901,4656
209,2011-07-28,Fall,2011,July,0,Thursday,1,1,53700.968807000005,92487.49999999999,583333.0,53679.879477,606,3784,4390
210,2011-07-29,Fall,2011,July,0,Friday,1,1,57778.748693,98245.875,542500.0,52374.267294,670,3176,3846
211,2011-07-30,Fall,2011,July,0,Saturday,0,1,55423.993807,91067.12500000001,465833.0,50689.693731,1559,2916,4475
212,2011-07-31,Fall,2011,July,0,Sunday,0,1,55538.816193,91224.50000000001,480833.0,49569.652319,1524,2778,4302
213,2011-08-01,Fall,2011,August,0,Monday,1,1,53184.061307,87911.5,550833.0,47134.675071,729,3537,4266
214,2011-08-02,Fall,2011,August,0,Tuesday,1,1,53988.093692999995,88383.875,491250.0,61912.06355,801,4044,4845
215,2011-08-03,Fall,2011,August,0,Wednesday,1,2,50427.221307,84992.12500000001,657500.0,40778.349829,467,3107,3574
216,2011-08-04,Fall,2011,August,0,Thursday,1,2,48933.909999999996,83098.50000000001,757500.0,59295.42545,799,3777,4576
217,2011-08-05,Fall,2011,August,0,Friday,1,1,48991.32119300001,82070.875,630832.9999999999,55549.723048,1023,3843,4866
218,2011-08-06,Fall,2011,August,0,Saturday,0,2,49393.406307000005,84519.25000000001,755000.0,68649.15475,1521,2773,4294
219,2011-08-07,Fall,2011,August,0,Sunday,0,1,51173.842500000006,89411.5,752916.9999999999,60599.834581,1298,2487,3785
220,2011-08-08,Fall,2011,August,0,Monday,1,1,52724.565,87910.375,592083.0,57799.129525000004,846,3480,4326
221,2011-08-09,Fall,2011,August,0,Tuesday,1,1,53413.775,90515.12499999999,570416.9999999999,45451.605322999996,907,3695,4602
